#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-4p	1	677	1790	0	groove	1592	1592	0	8379	420	0	0	0	0	0	1592	?	?
start-4p	1	677	1790	296	1	3500	3364	41668	415	1485	837	350	68	146	68	1592	?	?
start-4p	1	677	1790	290	8	6710	4036	51816	353	772	305	172	36	2376	2368	1592	?	?
start-4p	1	677	1790	285	16	5610	3097	52416	362	408	178	95	20	2222	2218	1592	?	?
start-4p	1	677	1790	285	24	7110	3689	52420	354	289	134	63	15	3074	3071	1592	?	?
start-4p	1	677	1790	289	32	7980	4221	52428	343	194	106	40	8	3793	3791	1592	?	?
start-4p	1	677	1790	281	40	7310	4777	52432	335	178	103	36	9	4372	4371	1592	?	?
start-4p	1	677	1790	284	48	9710	6578	52440	322	131	85	27	6	6267	6266	1592	?	?
start-4p	1	677	1790	271	56	11620	9032	52444	323	116	74	23	4	8749	8748	1592	?	?
start-4p	1	677	1790	281	64	16520	11754	52452	315	110	74	20	4	11481	11480	1592	?	?
