#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-03	0	32	53	47	32	7080	2651	52432	204	3	35	1	0	2588	2588	138	?	?
start-04	1	154	353	97	32	6580	2601	52432	301	28	63	4	1	2471	2470	386	?	?
start-05	2	705	2102	226	32	7380	3363	52432	341	150	105	28	6	3009	3008	1239	?	?
start-06	3	3329	12135	495	32	10610	6659	52432	407	729	337	153	19	5077	5067	3416	?	?
start-07	4	15473	67244	1006	32	14900	10687	52432	539	1929	979	347	43	6682	6655	8104	?	?
start-08	5	72434	364987	2099	32	25530	20560	52432	972	6528	2200	934	120	9093	9031	32973	?	?
start-09	6	338130	1942808	4267	32	70580	65756	52432	1333	28569	5599	3406	472	21668	21438	156330	?	?
start-10	7	1580449	10200436	8477	32	244380	240018	52432	2896	146963	20814	17285	2163	29828	28499	1015884	?	?
start-11	8	7383773	52931771	16427	32	1345010	1340444	52432	5682	865033	105879	97839	10908	123026	117430	?	?	?
start-12	9	34508916	272131154	31408	32	6732560	6728110	52432	10887	4615731	517685	520105	53520	395131	359521	?	?	?
start-13	10	?	?	?	32	?	?	?	?	?	?	?	?	?	?	?	?	?
