#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-10	7	1580449	10200436	0	groove	1015884	1015884	0	1289062	884719	0	0	0	0	0	1015884	?	?
start-10	7	1580449	10200436	8547	1	6621050	6620966	118948	3807	4608440	540303	556666	55976	226111	102470	1015884	?	?
start-10	7	1580449	10200436	8534	8	889160	885836	51884	3172	592033	78902	69193	8558	47403	42245	1015884	?	?
start-10	7	1580449	10200436	8505	16	465200	461763	52420	3049	297013	40512	34961	4371	38834	36193	1015884	?	?
start-10	7	1580449	10200436	8490	24	315020	312209	52424	3064	194725	27193	22959	2856	34186	32405	1015884	?	?
start-10	7	1580449	10200436	8477	32	244380	240018	52432	2896	146963	20814	17285	2163	29828	28499	1015884	?	?
start-10	7	1580449	10200436	8488	40	202910	199206	52436	2925	116072	16718	13612	1708	32684	31648	1015884	?	?
start-10	7	1580449	10200436	8473	48	176400	171813	52444	2714	97629	14276	11482	1448	31335	30478	1015884	?	?
start-10	7	1580449	10200436	8466	56	156190	151829	52448	15354	80123	11560	9430	1199	35186	34474	1015884	?	?
start-10	7	1580449	10200436	8451	64	155660	149250	52456	2605	73931	11301	8692	1090	41733	41165	1015884	?	?
